mu,integral
0.05,0.338452162855708
0.10,0.413504511745876
0.15,0.468743340754478
0.20,0.513720896812869
0.25,0.552027809593673
0.30,0.585493739231694
0.35,0.615210756540003
0.40,0.641898519583751
0.45,0.666064726310084
0.50,0.688085826810643
0.55,0.708251724498364
0.60,0.726792392811620
0.65,0.743894648809243
0.70,0.759713218695702
0.75,0.774378318749905
0.80,0.788001016559946
0.85,0.800677126661105
0.90,0.812490108316460
0.95,0.823513265590405
1.00,0.833811448088411
2.00,0.947019421085240
3.00,0.982143583697921
4.00,0.993830985051474
5.00,0.997838537261256
6.00,0.999235776236473
7.00,0.999728079746538
8.00,0.999902795803913
9.00,0.999965128012756
10.00,0.999987454441024
